fid,hilarriid,nididfull,nidid,otrstrctid,grand_id,dam_name,longitude,latitude,state,loc_flag,eha_cmplx,eha_ptid,pt_name,pt_lat,pt_lon,eia_ptid,fcdocket,nhdv2comid,nhdwbcomid,nhdwbflag,hylake_id,hylakeflag,lagoslkid,lagosflag,nhdhr_id,nhdhr_flag,huc_02,huc_12,ehadamflag,statusflag,ra2012_flag,pipestatus,ret_year,ar_rem_id,rem_year,dataset,atrbtnotes,loc_type,prjct_type,prjct_dtl,usgs_gage,gage_flag,sed_dsnum,NLA_2007,NLA_2012,NLA_2017,NLA_2022
"1","3566",MA00973S002,MA00973,S002,"-9999",HOLYOKE - OVERFLOW NO. 2,-72.600304,42.208874,MA,NA,hc9166,hc9166_p01,HOLYOKE NUMBER 2 HYDRO PROJECT ,42.19888328,-72.61087284,NA,P-2387,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010802010702",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conduit at a dam,Conduit at a dam,USGS-01172003,NA,"-9999",NA,NA,NA,NA
"2","3567",NA,NA,NA,"-9999",NA,-149.754503,61.178897,AK,NA,hc9165,hc9165_p01,RESERVOIRS 3 AND 4 ENERGY RECOVERY TURBINE PROJECT,61.178897,-149.754503,NA,CD22-4,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"19","190204010806",Unable to add inventoried dam info.,Power plant is included in the EHA. No inventoried dam.,NA,NA,"-9999",NA,"-9999","Power plant only; no reservoir or inventoried dam",NA,Coordinates reflect the location of the power plant,Canal/conduit,Water distribution,NA,NA,"-9999",NA,NA,NA,NA
"3","3568",NA,NA,NA,"-9999",NA,-108.3458013,39.10163607,CO,NA,hc9164,hc9164_p01,VINELANDS (GRAND VALLEY) ,39.10163607,-108.3458013,NA,NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"14","140100051502",Unable to add inventoried dam info.,Power plant is included in the EHA. No inventoried dam.,NA,NA,"-9999",NA,"-9999","Power plant only; no reservoir or inventoried dam",NA,Coordinates reflect the location of the power plant,Canal/conduit,Irrigation canal retrofit of existing power plant,NA,NA,"-9999",NA,NA,NA,NA
"4","3569",UT00380,UT00380,NA,"-9999",LOGAN FIRST DAM,-111.7917766,41.74064166,UT,Satellite Imagery,hc9167,hc9167_p01,FIRST DAM,41.74064166,-111.7917766,NA,NA,"666214","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"16","160102030308",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"5","3570",NA,NA,NA,"-9999",NA,-65.794,18.268,PR,NA,hc9168,hc9168_p01,RIO BLANCO,18.268,-65.794,"61236",NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"21","210100050202",Unable to add inventoried dam info.,Power plant is included in the EHA. No inventoried dam.,NA,NA,"-9999",NA,"-9999","Power plant only; no reservoir or inventoried dam",NA,Coordinates reflect the location of the power plant,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"6","3571",PR00003,PR00003,NA,"-9999",LUCCHETTI DAM,-66.864614,18.091668,PR,Satellite Imagery,hc9169,hc9169_p01,YAUCO,18.1105,-66.871,"61235",NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"21","210100040202",Unable to add inventoried dam info.,Power plant is included in the EHA. Hydropower is not reported as a purpose in any dam inventory.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"7","3572",NA,NA,NA,"-9999",NA,-66.488,18.1317,PR,NA,hc9170,hc9170_p01,TORO NEGRO,18.1317,-66.488,"61231",NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"21","210100040312",Unable to add inventoried dam info.,Power plant is included in the EHA. No inventoried dam.,NA,NA,"-9999",NA,"-9999","Power plant only; no reservoir or inventoried dam",NA,Coordinates reflect the location of the power plant,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"8","3573",PR00023,PR00023,NA,"2259",PATILLAS DAM,-66.021832,18.018468,PR,Satellite Imagery,hc9171,hc9171_p01,PATILLAS,18.017,-66.019,"61230",NA,"-9999","-9999",NA,"1073018",NA,"-9999",NA,NA,NA,"21","210100040507",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"9","3574",NA,NA,NA,"-9999",NA,-66.73,18.0733,PR,NA,hc9172,hc9172_p01,GARZAS,18.0733,-66.73,"61229",NA,"-9999","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"21","210100040205",Unable to add inventoried dam info.,Power plant is included in the EHA. No inventoried dam.,NA,NA,"-9999",NA,"-9999","Power plant only; no reservoir or inventoried dam",NA,Coordinates reflect the location of the power plant,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"10","3345",AK83016,AK83016,NA,"-9999",BRADLEY LAKE DAM,-150.853487,59.755207,AK,NA,NA,NA,NA,-9999,-9999,NA,NA,"-9999","-9999",NA,"62352",NA,"-9999",NA,NA,NA,"19","190203011102",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"11","3346",WA00752,WA00752,NA,"329",P.E.C. HEADWORKS,-119.2578,46.9827,WA,NA,hc0127,hc0127_p01,POTHOLES EAST CANAL HEADWORKS,46.9833,-119.2583,"7113",P-2840,"24407975","24411261",Multiple infrastructure features matched to this waterbody.,"8580",Multiple infrastructure features matched to this waterbody.,"460768",NA,"157385411",NA,"17","170200150904",Dam consists of several structures listed separately in the NID. This is a secondary structure.,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"12","3347",RI04271,RI04271,NA,"-9999",PAWTUCKET LOWER                                                  ,-71.383201,41.876513,RI,Satellite Imagery,hc7053,hc7053_p01,PAWTUCKET LOWER,41.8769,-71.3827,NA,P-3689,"6128415","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010900040901",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-01113895,NA,"-9999",NA,NA,NA,NA
"13","3349",WA00644,WA00644,NA,"-9999",PUMPING POND,-121.68779,48.65694,WA,Satellite Imagery,NA,NA,NA,-9999,-9999,NA,NA,"-9999","24260799",NA,"-9999",NA,"471426",NA,"130065031",NA,"17","171100050705",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-12191500,NA,"-9999",NA,NA,NA,NA
"14","3350",CA01592,CA01592,NA,"-9999",GASBURG CREEK DIKE                                               ,-120.4387,37.6937,CA,NA,NA,NA,NA,-9999,-9999,NA,NA,"17078817","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"18","180400091401",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"15","3351",GA00599,GA00599,NA,"-9999",JOHN CRUSE LAKE,-83.804543,34.078251,GA,NA,NA,NA,NA,-9999,-9999,NA,NA,"1047859","-9999",NA,"-9999",NA,"172786",NA,"52033763",NA,"03","030701010202",NA,Hydropower is a reported purpose in an older version of the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with reservoir; no power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"16","3348",PA00022,PA00022,NA,"-9999",KINZUA UPPER RESERVOIR DIKE,-79.0132,41.833,PA,NA,hc0314,hc0314_p01,SENECA,41.8388,-79.0059,"8225",P-2280,"-9999","8974764",NA,"9143",NA,"119628",NA,"112383165",NA,"05","050100011207",Dam consists of several structures listed separately in the NID. This is a secondary structure.,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999",Hydropower dam associated with reservoir and power plant,NA,Coordinates reflect the location of the dam,Pumped storage,Pumped storage,NA,NA,"-9999",NA,NA,NA,NA
"17","349",ME83030,ME83030,NA,"-9999",SPRINGS ISLAND                                                   ,-70.4518,43.4983,ME,NID2019,NA,NA,NA,-9999,-9999,NA,NA,"9316901","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010600021105",NA,Hydropower is a reported purpose in the NID. No associated power plant is in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam only; no reservoir or power plant",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"18","1333",WV01901,WV01901,NA,"-9999",HAWKS NEST                                                       ,-81.131,38.119,WV,Satellite Imagery,hc1529,hc1529_p01,HAWKS NEST HYDRO,38.119,-81.131,"50011",P-2512,"6919030","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"05","050500040306",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,NA,NA,"-9999",NA,NA,NA,NA
"19","3352",ME96105,ME96105,NA,"-9999",BISCOE FALLS                                                     ,-70.5371,44.285,ME,NA,hc7378,hc7378_p01,BISCOE FALLS,44.28554071,-70.5350704,NA,P-9411,"6711911","-9999",NA,"-9999",NA,"-9999",NA,NA,NA,"01","010400020904",NA,Hydropower is a reported purpose in the NID. Associated power plant is included in the EHA.,NA,NA,"-9999",NA,"-9999","Hydropower dam associated with power plant; no reservoir",NA,Coordinates reflect the location of the dam,Conventional hydropower,Conventional hydropower,USGS-01057000,NA,"-9999",NA,NA,NA,NA
