date,storage,inflow,outflow,evaporation,elevation
1952-10-01,0.08,NA,0,NA,190.287
1952-10-02,0.099,NA,0,NA,190.317
1952-10-03,0.099,NA,0,NA,190.317
1952-10-04,0.113,NA,0,NA,190.348
1952-10-05,0.128,NA,0,NA,190.378
1952-10-06,0.143,NA,0,NA,190.409
1952-10-07,0.143,NA,0,NA,190.409
1952-10-08,0.143,NA,0,NA,190.409
1952-10-09,0.143,NA,0,NA,190.409
1952-10-10,0.143,NA,0,NA,190.409
1952-10-11,0.143,NA,0,NA,190.409
1952-10-12,0.143,NA,0,NA,190.409
1952-10-13,0.143,NA,0,NA,190.409
1952-10-14,0.143,NA,0,NA,190.409
1952-10-15,0.143,NA,0,NA,190.409
1952-10-16,0.163,NA,0,NA,190.439
1952-10-17,0.163,NA,0,NA,190.439
1952-10-18,0.163,NA,0,NA,190.439
1952-10-19,0.163,NA,0,NA,190.439
1952-10-20,0.163,NA,0,NA,190.439
1952-10-21,0.163,NA,0,NA,190.439
1952-10-22,0.163,NA,0,NA,190.439
1952-10-23,0.163,NA,0,NA,190.439
1952-10-24,0.163,NA,0,NA,190.439
1952-10-25,0.163,NA,0,NA,190.439
1952-10-26,0.163,NA,0,NA,190.439
1952-10-27,0.163,NA,0,NA,190.439
1952-10-28,0.163,NA,0,NA,190.439
1952-10-29,0.163,NA,0,NA,190.439
1952-10-30,0.163,NA,0,NA,190.439
1952-10-31,0.163,NA,0,NA,190.439
1952-11-01,0.183,NA,0,NA,190.47
1952-11-02,0.202,NA,0,NA,190.5
1952-11-03,0.202,NA,0,NA,190.5
1952-11-04,0.202,NA,0,NA,190.5
1952-11-05,0.202,NA,0,NA,190.5
1952-11-06,0.202,NA,0,NA,190.5
1952-11-07,0.222,NA,0,NA,190.53
1952-11-08,0.222,NA,0,NA,190.53
1952-11-09,0.254,NA,0,NA,190.591
1952-11-10,0.27,NA,0,NA,190.622
1952-11-11,0.254,NA,0,NA,190.591
1952-11-12,0.254,NA,0,NA,190.591
1952-11-13,0.254,NA,0,NA,190.591
1952-11-14,0.254,NA,0,NA,190.591
1952-11-15,0.254,NA,0,NA,190.591
1952-11-16,0.254,NA,0,NA,190.591
1952-11-17,0.27,NA,0,NA,190.622
1952-11-18,0.291,NA,0,NA,190.652
1952-11-19,0.291,NA,0,NA,190.652
1952-11-20,0.291,NA,0,NA,190.652
1952-11-21,0.291,NA,0,NA,190.652
1952-11-22,0.291,NA,0,NA,190.652
1952-11-23,0.291,NA,0.147,NA,190.652
1952-11-24,1.775,NA,0.193,NA,192.512
1952-11-25,5.207,NA,0.311,NA,195.285
1952-11-26,5.864,NA,0.003,NA,195.712
1952-11-27,5.818,NA,0,NA,195.682
1952-11-28,5.818,NA,0,NA,195.682
1952-11-29,5.818,NA,0,NA,195.682
1952-11-30,5.773,NA,0,NA,195.651
1952-12-01,5.773,NA,0,NA,195.651
1952-12-02,5.723,NA,0,NA,195.621
1952-12-03,5.723,NA,0,NA,195.621
1952-12-04,5.674,NA,0,NA,195.59
1952-12-05,5.625,NA,0,NA,195.56
1952-12-06,5.575,NA,0,NA,195.529
1952-12-07,5.575,NA,0,NA,195.529
1952-12-08,5.531,NA,0,NA,195.505
1952-12-09,5.531,NA,0,NA,195.499
1952-12-10,5.531,NA,0,NA,195.496
1952-12-11,5.531,NA,0,NA,195.493
1952-12-12,5.487,NA,0,NA,195.48
1952-12-13,5.487,NA,0,NA,195.477
1952-12-14,5.487,NA,0,NA,195.477
1952-12-15,5.487,NA,0,NA,195.477
1952-12-16,5.487,NA,0,NA,195.465
1952-12-17,5.487,NA,0,NA,195.462
1952-12-18,5.487,NA,0,NA,195.477
1952-12-19,5.625,NA,0.099,NA,195.547
1952-12-20,5.674,NA,0,NA,195.59
1952-12-21,5.674,NA,0,NA,195.599
1952-12-22,5.674,NA,0,NA,195.599
1952-12-23,5.674,NA,0,NA,195.599
1952-12-24,5.674,NA,0,NA,195.593
1952-12-25,5.674,NA,0,NA,195.587
1952-12-26,5.674,NA,0,NA,195.578
1952-12-27,5.625,NA,0,NA,195.572
1952-12-28,5.674,NA,0,NA,195.593
1952-12-29,5.674,NA,0,NA,195.587
1952-12-30,5.674,NA,0.079,NA,195.578
1952-12-31,5.625,NA,0.006,NA,195.572
1953-01-01,5.625,NA,0,NA,195.566
1953-01-02,5.625,NA,0,NA,195.566
1953-01-03,5.773,NA,0,NA,195.663
1953-01-04,6.011,NA,0,NA,195.81
