date,storage,inflow,outflow,evaporation,elevation
1989-01-23,5.947,NA,NA,NA,NA
1989-01-24,5.947,NA,NA,NA,NA
1989-01-25,7.59,NA,NA,NA,NA
1989-01-26,7.97,NA,NA,NA,NA
1989-01-27,7.97,NA,NA,NA,NA
1989-01-28,8.253,NA,NA,NA,NA
1989-01-29,8.225,NA,NA,NA,NA
1989-01-30,8.46,NA,NA,NA,NA
1989-01-31,NA,NA,NA,NA,NA
1989-02-01,8.233,NA,NA,NA,NA
1989-02-02,8.063,NA,NA,NA,NA
1989-02-03,8.063,NA,NA,NA,NA
1989-02-04,7.923,NA,NA,NA,NA
1989-02-05,7.284,NA,NA,NA,NA
1989-02-06,7.107,NA,NA,NA,NA
1989-02-07,7.328,NA,NA,NA,NA
1989-02-08,7.851,NA,NA,NA,NA
1989-02-09,8.337,NA,NA,NA,NA
1989-02-10,8.342,NA,NA,NA,NA
1989-02-11,8.13,NA,NA,NA,NA
1989-02-12,8.564,NA,NA,NA,NA
1989-02-13,7.974,NA,NA,NA,NA
1989-02-14,8.078,NA,NA,NA,NA
1989-02-15,NA,NA,NA,NA,NA
1989-02-16,8.484,NA,NA,NA,NA
1989-02-17,8.475,NA,NA,NA,NA
1989-02-18,8.475,NA,NA,NA,NA
1989-02-19,8.475,NA,NA,NA,NA
1989-02-20,8.475,NA,NA,NA,NA
1989-02-21,4.426,NA,NA,NA,NA
1989-02-22,4.103,NA,NA,NA,NA
1989-02-23,4.094,NA,NA,NA,NA
1989-02-24,7.805,NA,NA,NA,NA
1989-02-25,7.829,NA,NA,NA,NA
1989-02-26,7.814,NA,NA,NA,NA
1989-02-27,7.786,NA,NA,NA,NA
1989-02-28,NA,NA,NA,NA,NA
1989-03-01,7.894,NA,NA,NA,NA
1989-03-02,NA,NA,NA,NA,NA
1989-03-03,8.069,NA,NA,NA,NA
1989-03-04,8.041,NA,NA,NA,NA
1989-03-05,8.087,NA,NA,NA,NA
1989-03-06,8.219,NA,NA,NA,NA
1989-03-07,NA,NA,NA,NA,NA
1989-03-08,8.736,NA,NA,NA,NA
1989-03-09,NA,NA,NA,NA,NA
1989-03-10,NA,NA,NA,NA,NA
1989-03-11,NA,NA,NA,NA,NA
1989-03-12,9.225,NA,NA,NA,NA
1989-03-13,9.351,NA,NA,NA,NA
1989-03-14,9.397,NA,NA,NA,NA
1989-03-15,9.499,NA,NA,NA,NA
1989-03-16,9.576,NA,NA,NA,NA
1989-03-17,9.642,NA,NA,NA,NA
1989-03-18,NA,NA,NA,NA,NA
1989-03-19,9.763,NA,NA,NA,NA
1989-03-20,9.793,NA,NA,NA,NA
1989-03-21,9.816,NA,NA,NA,NA
1989-03-22,9.844,NA,NA,NA,NA
1989-03-23,9.883,NA,NA,NA,NA
1989-03-24,10.057,NA,NA,NA,NA
