date,storage,inflow,outflow,elevation,evaporation
1977-12-01,42.307,NA,0.538,NA,0
1977-12-02,42.307,NA,0.538,NA,0
1977-12-03,42.307,NA,0.538,NA,0
1977-12-04,42.501,NA,0.538,NA,0
1977-12-05,42.501,NA,0.538,NA,0
1977-12-06,42.501,NA,0.538,NA,0
1977-12-07,42.501,NA,0.623,NA,0
1977-12-08,42.693,NA,0.736,NA,0
1977-12-09,42.693,NA,0.736,NA,0
1977-12-10,42.887,NA,0.736,NA,0
1977-12-11,42.887,NA,0.736,NA,0
1977-12-12,43.082,NA,0.736,NA,0
1977-12-13,43.082,NA,0.736,NA,0
1977-12-14,43.082,NA,0.793,NA,0
1977-12-15,43.277,NA,0.736,NA,0
1977-12-16,43.473,NA,0.736,NA,0
1977-12-17,43.473,NA,0.736,NA,0
1977-12-18,43.668,NA,0.765,NA,0
1977-12-19,43.668,NA,0.68,NA,0
1977-12-20,43.668,NA,0.736,NA,0
1977-12-21,43.864,NA,0.736,NA,0
1977-12-22,43.874,NA,0.765,NA,0
1977-12-23,44.061,NA,0.765,NA,0
1977-12-24,44.061,NA,0.708,NA,0
1977-12-25,44.258,NA,0.708,NA,0
1977-12-26,44.258,NA,0.708,NA,0
1977-12-27,44.456,NA,0.708,NA,0
1977-12-28,44.456,NA,0.68,NA,0
1977-12-29,44.653,NA,0.68,NA,0
1977-12-30,44.653,NA,0.68,NA,0
1977-12-31,44.852,NA,0.708,NA,0
1978-01-01,44.852,NA,0.566,NA,0
1978-01-02,44.852,NA,0.623,NA,0
1978-01-03,45.052,NA,0.595,NA,0
1978-01-04,45.052,NA,0.595,NA,0
1978-01-05,45.251,NA,0.623,NA,0
1978-01-06,45.251,NA,0.595,NA,0
1978-01-07,45.251,NA,0.623,NA,0
1978-01-08,45.451,NA,0.595,NA,0
1978-01-09,45.451,NA,0.595,NA,0
1978-01-10,45.451,NA,0.595,NA,0
1978-01-11,45.651,NA,0.595,NA,0
1978-01-12,45.651,NA,0.595,NA,0
1978-01-13,45.651,NA,0.595,NA,0
1978-01-14,45.852,NA,0.595,NA,0
1978-01-15,45.852,NA,0.566,NA,0
1978-01-16,46.053,NA,0.595,NA,0
1978-01-17,46.053,NA,0.623,NA,0
1978-01-18,46.255,NA,0.538,NA,0
1978-01-19,46.255,NA,0.566,NA,0
1978-01-20,46.255,NA,0.566,NA,0
1978-01-21,46.458,NA,0.566,NA,0
1978-01-22,46.458,NA,0.566,NA,0
1978-01-23,46.458,NA,0.566,NA,0
1978-01-24,46.458,NA,3.256,NA,0
1978-01-25,46.458,NA,5.777,NA,0
1978-01-26,46.255,NA,5.72,NA,0
1978-01-27,45.852,NA,5.72,NA,0
1978-01-28,45.451,NA,5.748,NA,0
1978-01-29,45.251,NA,6.031,NA,0
1978-01-30,44.852,NA,5.72,NA,0
1978-01-31,44.852,NA,2.718,NA,0
1978-02-01,44.852,NA,0.538,NA,0
1978-02-02,45.052,NA,0.708,NA,0
1978-02-03,45.052,NA,0.68,NA,0
1978-02-04,45.251,NA,0.651,NA,0
1978-02-05,45.251,NA,0.651,NA,0
1978-02-06,45.451,NA,0.651,NA,0
1978-02-07,45.651,NA,0.651,NA,0
1978-02-08,45.852,NA,0.651,NA,0
1978-02-09,46.053,NA,0.651,NA,0
1978-02-10,46.255,NA,0.651,NA,0
1978-02-11,46.458,NA,0.651,NA,0
1978-02-12,46.458,NA,0.68,NA,0
1978-02-13,46.66,NA,0.651,NA,0
1978-02-14,46.864,NA,0.623,NA,0
1978-02-15,46.864,NA,0.651,NA,0
1978-02-16,46.864,NA,1.529,NA,0
1978-02-17,46.864,NA,2.265,NA,0
1978-02-18,46.864,NA,2.265,NA,0
1978-02-19,46.864,NA,2.237,NA,0
1978-02-20,47.067,NA,2.237,NA,0
