date,storage,inflow,outflow,evaporation,elevation
1957-06-13,NA,NA,NA,NA,474.878
1957-06-14,NA,NA,NA,NA,475.031
1957-06-15,NA,NA,NA,NA,475.214
1957-06-16,NA,NA,NA,NA,475.732
1957-06-17,NA,NA,NA,NA,476.707
1957-06-18,NA,NA,NA,NA,479.45
1957-06-19,NA,NA,NA,NA,480.182
1957-06-20,NA,NA,NA,NA,479.938
1957-06-21,NA,NA,NA,NA,479.725
1957-06-22,NA,NA,NA,NA,479.572
1957-06-23,NA,NA,NA,NA,479.725
1957-06-24,NA,NA,NA,NA,479.572
1957-06-25,NA,NA,NA,NA,479.268
1957-06-26,NA,NA,NA,NA,479.146
1957-06-27,NA,NA,NA,NA,478.963
1957-06-28,NA,NA,NA,NA,478.475
1957-06-29,NA,NA,NA,NA,478.384
1957-06-30,NA,NA,NA,NA,478.231
1957-07-01,NA,NA,NA,NA,478.445
1957-07-02,NA,NA,NA,NA,478.262
1957-07-03,NA,NA,NA,NA,478.079
1957-07-04,NA,NA,NA,NA,478.048
1957-07-05,NA,NA,NA,NA,477.926
1957-07-06,NA,NA,NA,NA,477.896
1957-07-07,NA,NA,NA,NA,477.865
1957-07-08,NA,NA,NA,NA,477.865
1957-07-09,NA,NA,NA,NA,477.865
1957-07-10,NA,NA,NA,NA,477.774
1957-07-11,NA,NA,NA,NA,477.683
1957-07-12,NA,NA,NA,NA,477.591
1957-07-13,NA,NA,NA,NA,477.469
1957-07-14,NA,NA,NA,NA,477.347
1957-07-15,NA,NA,NA,NA,477.256
1957-07-16,NA,NA,NA,NA,477.164
1957-07-17,NA,NA,NA,NA,477.103
1957-07-18,NA,NA,NA,NA,477.012
1957-07-19,NA,NA,NA,NA,476.921
1957-07-20,NA,NA,NA,NA,476.86
1957-07-21,NA,NA,NA,NA,476.799
1957-07-22,NA,NA,NA,NA,476.768
1957-07-23,NA,NA,NA,NA,476.738
1957-07-24,NA,NA,NA,NA,476.707
1957-07-25,NA,NA,NA,NA,476.677
1957-07-26,NA,NA,NA,NA,476.677
1957-07-27,NA,NA,NA,NA,476.646
1957-07-28,NA,NA,NA,NA,476.646
1957-07-29,NA,NA,NA,NA,476.585
1957-07-30,NA,NA,NA,NA,476.585
1957-07-31,NA,NA,NA,NA,476.555
1957-08-01,NA,NA,NA,NA,476.524
1957-08-02,NA,NA,NA,NA,476.524
1957-08-03,NA,NA,NA,NA,476.524
1957-08-04,NA,NA,NA,NA,476.524
1957-08-05,NA,NA,NA,NA,476.524
1957-08-06,NA,NA,NA,NA,476.616
1957-08-07,NA,NA,NA,NA,476.585
1957-08-08,NA,NA,NA,NA,476.555
1957-08-09,NA,NA,NA,NA,476.524
1957-08-10,NA,NA,NA,NA,476.524
1957-08-11,NA,NA,NA,NA,476.524
1957-08-12,NA,NA,NA,NA,476.524
1957-08-13,NA,NA,NA,NA,476.494
1957-08-14,NA,NA,NA,NA,476.494
1957-08-15,NA,NA,NA,NA,476.494
1957-08-16,NA,NA,NA,NA,476.463
1957-08-17,NA,NA,NA,NA,476.463
1957-08-18,NA,NA,NA,NA,476.433
1957-08-19,NA,NA,NA,NA,476.402
1957-08-20,NA,NA,NA,NA,476.402
1957-08-21,NA,NA,NA,NA,476.402
1957-08-22,NA,NA,NA,NA,476.402
1957-08-23,NA,NA,NA,NA,476.402
1957-08-24,NA,NA,NA,NA,476.402
1957-08-25,NA,NA,NA,NA,476.402
1957-08-26,NA,NA,NA,NA,476.402
1957-08-27,NA,NA,NA,NA,476.402
1957-08-28,NA,NA,NA,NA,476.402
1957-08-29,NA,NA,NA,NA,476.402
1957-08-30,NA,NA,NA,NA,476.555
1957-08-31,NA,NA,NA,NA,476.646
1957-09-01,NA,NA,NA,NA,476.646
1957-09-02,NA,NA,NA,NA,476.768
1957-09-03,NA,NA,NA,NA,476.738
1957-09-04,NA,NA,NA,NA,476.707
1957-09-05,NA,NA,NA,NA,476.692
1957-09-06,NA,NA,NA,NA,476.677
1957-09-07,NA,NA,NA,NA,476.753
1957-09-08,NA,NA,NA,NA,476.738
1957-09-09,NA,NA,NA,NA,476.738
1957-09-10,NA,NA,NA,NA,476.692
1957-09-11,NA,NA,NA,NA,476.707
1957-09-12,NA,NA,NA,NA,476.707
1957-09-13,NA,NA,NA,NA,476.677
1957-09-14,NA,NA,NA,NA,476.677
1957-09-15,NA,NA,NA,NA,476.677
1957-09-16,NA,NA,NA,NA,476.677
1957-09-17,NA,NA,NA,NA,476.677
1957-09-18,NA,NA,NA,NA,476.661
1957-09-19,NA,NA,NA,NA,476.661
1957-09-20,NA,NA,NA,NA,476.646
1957-09-21,NA,NA,NA,NA,476.646
1957-09-22,NA,NA,NA,NA,476.646
1957-09-23,NA,NA,NA,NA,476.646
1957-09-24,NA,NA,NA,NA,476.646
1957-09-25,NA,NA,NA,NA,476.631
1957-09-26,NA,NA,NA,NA,476.631
1957-09-27,NA,NA,NA,NA,476.631
1957-09-28,NA,NA,NA,NA,476.631
1957-09-29,NA,NA,NA,NA,476.631
1957-09-30,NA,NA,NA,NA,476.616
1957-10-01,NA,NA,NA,NA,NA
1957-10-02,NA,NA,NA,NA,NA
1957-10-03,NA,NA,NA,NA,NA
1957-10-04,NA,NA,NA,NA,NA
1957-10-05,NA,NA,NA,NA,NA
1957-10-06,NA,NA,NA,NA,NA
1957-10-07,NA,NA,NA,NA,NA
1957-10-08,NA,NA,NA,NA,NA
1957-10-09,NA,NA,NA,NA,NA
1957-10-10,NA,NA,NA,NA,NA
1957-10-11,NA,NA,NA,NA,NA
1957-10-12,NA,NA,NA,NA,NA
1957-10-13,NA,NA,NA,NA,NA
1957-10-14,NA,NA,NA,NA,NA
1957-10-15,NA,NA,NA,NA,NA
1957-10-16,NA,NA,NA,NA,NA
1957-10-17,NA,NA,NA,NA,NA
1957-10-18,NA,NA,NA,NA,NA
1957-10-19,NA,NA,NA,NA,NA
1957-10-20,NA,NA,NA,NA,NA
1957-10-21,NA,NA,NA,NA,NA
1957-10-22,NA,NA,NA,NA,NA
1957-10-23,NA,NA,NA,NA,NA
1957-10-24,NA,NA,NA,NA,NA
1957-10-25,NA,NA,NA,NA,NA
1957-10-26,NA,NA,NA,NA,NA
1957-10-27,NA,NA,NA,NA,NA
